datetime,symbol,open,high,low,close,volume
2025-07-31 10:00:00,SET:SET,1243.55,1243.55,1230.34,1239.77,0.0
2025-07-31 11:00:00,SET:SET,1240.42,1243.86,1238.84,1242.18,0.0
2025-07-31 12:00:00,SET:SET,1241.39,1243.8,1239.36,1242.99,0.0
2025-07-31 13:00:00,SET:SET,1241.07,1241.59,1240.59,1240.8,0.0
2025-07-31 14:00:00,SET:SET,1240.99,1251.09,1240.77,1245.5,0.0
2025-07-31 15:00:00,SET:SET,1244.9,1246.56,1243.43,1243.83,0.0
2025-07-31 16:00:00,SET:SET,1244.19,1246.14,1242.35,1242.35,0.0
2025-08-01 09:00:00,SET:SET,1252.5,1252.5,1252.29,1252.29,0.0
2025-08-01 10:00:00,SET:SET,1253.74,1255.04,1237.99,1238.43,0.0
2025-08-01 11:00:00,SET:SET,1239.01,1241.17,1237.46,1239.34,0.0
2025-08-01 12:00:00,SET:SET,1238.69,1240.45,1234.94,1237.15,0.0
2025-08-01 13:00:00,SET:SET,1235.97,1238.01,1235.15,1236.46,0.0
2025-08-01 14:00:00,SET:SET,1236.39,1238.97,1234.73,1234.82,0.0
2025-08-01 15:00:00,SET:SET,1235.55,1237.37,1224.38,1224.87,0.0
2025-08-01 16:00:00,SET:SET,1225.14,1226.42,1217.83,1218.33,0.0
2025-08-04 09:00:00,SET:SET,1222.58,1223.03,1222.31,1222.39,0.0
2025-08-04 10:00:00,SET:SET,1222.53,1225.04,1213.03,1224.08,0.0
2025-08-04 11:00:00,SET:SET,1223.39,1224.12,1220.1,1222.07,0.0
2025-08-04 12:00:00,SET:SET,1221.55,1224.47,1221.55,1222.67,0.0
2025-08-04 13:00:00,SET:SET,1223.63,1224.3,1222.96,1223.64,0.0
2025-08-04 14:00:00,SET:SET,1224.08,1230.93,1223.59,1230.8,0.0
2025-08-04 15:00:00,SET:SET,1230.63,1230.88,1228.02,1229.49,0.0
2025-08-04 16:00:00,SET:SET,1230.18,1230.63,1227.26,1229.4,0.0
2025-08-05 09:00:00,SET:SET,1235.13,1237.28,1235.13,1237.28,0.0
2025-08-05 10:00:00,SET:SET,1237.77,1241.35,1234.03,1240.51,0.0
2025-08-05 11:00:00,SET:SET,1240.4,1246.55,1239.47,1244.29,0.0
2025-08-05 12:00:00,SET:SET,1244.49,1246.49,1243.08,1244.19,0.0
2025-08-05 13:00:00,SET:SET,1244.93,1246.58,1244.83,1246.14,0.0
2025-08-05 14:00:00,SET:SET,1246.6,1250.35,1245.17,1245.31,0.0
2025-08-05 15:00:00,SET:SET,1245.56,1249.8,1244.54,1247.22,0.0
2025-08-05 16:00:00,SET:SET,1247.07,1247.98,1244.21,1246.96,0.0
2025-08-06 09:00:00,SET:SET,1253.85,1253.85,1252.12,1252.12,0.0
2025-08-06 10:00:00,SET:SET,1253.13,1261.24,1248.44,1255.49,0.0
2025-08-06 11:00:00,SET:SET,1255.45,1264.12,1255.04,1263.93,0.0
2025-08-06 12:00:00,SET:SET,1264.43,1266.18,1262.84,1263.78,0.0
2025-08-06 13:00:00,SET:SET,1264.08,1264.76,1264.08,1264.43,0.0
2025-08-06 14:00:00,SET:SET,1264.93,1266.1,1262.61,1264.75,0.0
2025-08-06 15:00:00,SET:SET,1265.06,1266.0,1258.99,1262.88,0.0
2025-08-06 16:00:00,SET:SET,1262.84,1264.89,1261.9,1264.47,0.0
2025-08-07 09:00:00,SET:SET,1270.44,1273.01,1270.44,1272.4,0.0
2025-08-07 10:00:00,SET:SET,1272.28,1280.69,1267.1,1278.88,0.0
2025-08-07 11:00:00,SET:SET,1279.63,1279.63,1272.86,1275.93,0.0
2025-08-07 12:00:00,SET:SET,1275.28,1276.28,1273.69,1274.76,0.0
2025-08-07 13:00:00,SET:SET,1275.08,1275.09,1275.08,1275.09,0.0
2025-08-07 14:00:00,SET:SET,1275.41,1276.44,1266.34,1268.91,0.0
2025-08-07 15:00:00,SET:SET,1269.17,1271.1,1261.7,1262.92,0.0
2025-08-07 16:00:00,SET:SET,1262.8,1265.15,1260.97,1265.15,0.0
2025-08-08 09:00:00,SET:SET,1260.48,1263.02,1260.15,1262.32,0.0
2025-08-08 10:00:00,SET:SET,1262.23,1265.87,1255.92,1263.01,0.0
2025-08-08 11:00:00,SET:SET,1262.6,1264.29,1260.4,1261.64,0.0
2025-08-08 12:00:00,SET:SET,1261.3,1262.09,1258.29,1259.4,0.0
2025-08-08 13:00:00,SET:SET,1258.32,1258.32,1257.22,1257.52,0.0
2025-08-08 14:00:00,SET:SET,1257.02,1257.76,1254.69,1256.03,0.0
2025-08-08 15:00:00,SET:SET,1255.0,1260.26,1253.58,1259.95,0.0
2025-08-08 16:00:00,SET:SET,1258.28,1259.78,1256.66,1259.07,0.0
2025-08-13 09:00:00,SET:SET,1270.55,1271.06,1270.04,1271.01,0.0
2025-08-13 10:00:00,SET:SET,1271.12,1271.82,1264.41,1268.08,0.0
2025-08-13 11:00:00,SET:SET,1268.12,1272.84,1267.2,1272.8,0.0
