datetime,symbol,open,high,low,close,volume
2019-10-16 16:00:00,SET:MINE,6.69,6.73,6.69,6.69,0.0
2019-10-17 09:00:00,SET:MINE,6.69,6.69,6.69,6.69,0.0
2019-10-17 10:00:00,SET:MINE,6.65,6.69,6.65,6.69,0.0
2019-10-17 11:00:00,SET:MINE,6.65,6.69,6.65,6.69,0.0
2019-10-17 12:00:00,SET:MINE,6.65,6.65,6.65,6.65,0.0
2019-10-17 14:00:00,SET:MINE,6.69,6.69,6.65,6.65,0.0
2019-10-17 15:00:00,SET:MINE,6.61,6.65,6.61,6.61,0.0
2019-10-17 16:00:00,SET:MINE,6.56,6.61,6.56,6.61,0.0
2019-10-18 09:00:00,SET:MINE,6.56,6.56,6.56,6.56,0.0
2019-10-18 12:00:00,SET:MINE,6.52,6.52,6.52,6.52,0.0
2019-10-18 15:00:00,SET:MINE,6.56,6.56,6.52,6.52,0.0
2019-10-18 16:00:00,SET:MINE,6.48,6.48,6.44,6.48,0.0
2019-10-21 09:00:00,SET:MINE,6.44,6.44,6.44,6.44,0.0
2019-10-21 10:00:00,SET:MINE,6.4,6.48,6.4,6.48,0.0
2019-10-21 11:00:00,SET:MINE,6.44,6.44,6.44,6.44,0.0
2019-10-21 14:00:00,SET:MINE,6.48,6.48,6.48,6.48,0.0
2019-10-21 15:00:00,SET:MINE,6.44,6.44,6.44,6.44,0.0
2019-10-21 16:00:00,SET:MINE,6.4,6.44,6.4,6.4,0.0
2019-10-22 09:00:00,SET:MINE,6.4,6.4,6.4,6.4,0.0
2019-10-22 11:00:00,SET:MINE,6.44,6.44,6.4,6.4,0.0
2019-10-22 14:00:00,SET:MINE,6.44,6.44,6.44,6.44,0.0
2019-10-22 15:00:00,SET:MINE,6.4,6.4,6.4,6.4,0.0
2019-10-22 16:00:00,SET:MINE,6.48,6.48,6.44,6.44,0.0
2019-10-24 09:00:00,SET:MINE,6.4,6.4,6.4,6.4,0.0
2019-10-24 12:00:00,SET:MINE,6.36,6.36,6.36,6.36,0.0
2019-10-24 14:00:00,SET:MINE,6.4,6.4,6.4,6.4,0.0
2019-10-24 16:00:00,SET:MINE,6.36,6.36,6.36,6.36,0.0
2019-10-25 09:00:00,SET:MINE,6.36,6.36,6.36,6.36,0.0
2019-10-25 10:00:00,SET:MINE,6.31,6.36,6.31,6.36,0.0
2019-10-25 11:00:00,SET:MINE,6.31,6.36,6.31,6.36,0.0
2019-10-25 12:00:00,SET:MINE,6.31,6.31,6.31,6.31,0.0
2019-10-25 15:00:00,SET:MINE,6.27,6.27,6.23,6.23,0.0
2019-10-25 16:00:00,SET:MINE,6.19,6.23,6.19,6.23,0.0
2019-10-28 09:00:00,SET:MINE,6.19,6.19,6.19,6.19,0.0
2019-10-28 10:00:00,SET:MINE,6.15,6.15,6.15,6.15,0.0
2019-10-28 11:00:00,SET:MINE,6.11,6.15,6.11,6.15,0.0
2019-10-28 14:00:00,SET:MINE,6.19,6.19,6.19,6.19,0.0
2019-10-28 15:00:00,SET:MINE,6.15,6.15,6.15,6.15,0.0
2019-10-29 09:00:00,SET:MINE,6.15,6.15,6.15,6.15,0.0
2019-10-29 10:00:00,SET:MINE,6.19,6.23,6.19,6.23,0.0
2019-10-29 11:00:00,SET:MINE,6.19,6.19,6.19,6.19,0.0
2019-10-29 14:00:00,SET:MINE,6.23,6.23,6.19,6.19,0.0
2019-10-29 15:00:00,SET:MINE,6.15,6.15,6.15,6.15,0.0
2019-10-30 09:00:00,SET:MINE,6.23,6.23,6.23,6.23,0.0
2019-10-30 10:00:00,SET:MINE,6.15,6.15,6.15,6.15,0.0
2019-10-30 15:00:00,SET:MINE,6.23,6.23,6.23,6.23,0.0
2019-10-31 09:00:00,SET:MINE,6.27,6.27,6.27,6.27,0.0
2019-10-31 10:00:00,SET:MINE,6.23,6.23,6.23,6.23,0.0
2019-10-31 11:00:00,SET:MINE,6.27,6.27,6.23,6.23,0.0
2019-10-31 14:00:00,SET:MINE,6.27,6.27,6.23,6.23,0.0
2019-10-31 15:00:00,SET:MINE,6.19,6.19,6.19,6.19,0.0
2019-11-01 09:00:00,SET:MINE,6.19,6.19,6.19,6.19,0.0
2019-11-01 10:00:00,SET:MINE,6.23,6.23,6.23,6.23,0.0
2019-11-01 12:00:00,SET:MINE,6.19,6.19,6.15,6.15,0.0
2019-11-01 14:00:00,SET:MINE,6.19,6.19,6.19,6.19,0.0
